,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
467,Rice Leo B,1,0,1,1.0
468,Jabiru Aircraft Pty Ltd,1,0,1,1.0
469,"Rhoads, Larry E",1,0,1,1.0
470,Dixon,1,0,1,1.0
471,Bkf,1,0,1,1.0
472,M-Squared Aircraft,1,0,1,1.0
473,Kelly,1,0,1,1.0
474,Aerofab Inc,1,0,1,1.0
475,Hoyle,1,0,1,1.0
476,Fox Jack G,1,0,1,1.0
477,Whitehead,1,0,1,1.0
478,Wells John L Jr,1,0,1,1.0
479,Slingsby,1,0,1,1.0
480,Porterfield,1,0,1,1.0
481,Bristell,1,0,1,1.0
482,C M Stuhrenberg/P C Polete,1,0,1,1.0
483,Jahns,1,0,1,1.0
484,Klemme William H,1,0,1,1.0
485,Corvus,1,0,1,1.0
486,Sachse Stephan,1,0,1,1.0
487,Aveko Sro,1,0,1,1.0
488,Bordiuk,1,0,1,1.0
489,Owen,1,0,1,1.0
490,Auman Jl,1,0,1,1.0
491,Tandem,1,0,1,1.0
492,Ingraham,1,0,1,1.0
493,Aeros,1,0,1,1.0
494,Curtis,1,0,1,1.0
495,Davis Daniel T,1,0,1,1.0
496,Lyons,1,0,1,1.0
497,Lee Kolb,1,0,1,1.0
498,Pac,1,0,1,1.0
499,Arion Aircraft Llc,1,0,1,1.0
500,Wsk-Pzl Warzawa-Okecie,1,0,1,1.0
501,Piaggio Aero Industries Spa,1,0,1,1.0
502,Avres Corp.,1,0,1,1.0
503,Mustang,1,0,1,1.0
504,Bordelon,1,0,1,1.0
505,Vulcanair,1,0,1,1.0
506,Sorrell,1,0,1,1.0
507,Consolidated Vultee,1,0,1,1.0
508,Doshier Wilbert A,1,0,1,1.0
509,Yuneec,1,0,1,1.0
510,Ttx Air Llc,1,0,1,1.0
511,Airparts Nz Ltd,1,0,1,1.0
512,Bushmaster,1,0,1,1.0
513,Sorensen,1,0,1,1.0
514,G-Dawg Llc,1,0,1,1.0
515,Ayres Corp,1,0,1,1.0
516,Aerospatiale Alenia,1,0,1,1.0
517,Extra Flugzeugproduktions-Gmbh,1,0,1,1.0
518,Volksplane,1,0,1,1.0
519,Suminski Walter M,1,0,1,1.0
520,Arnold,1,0,1,1.0
521,White,1,0,1,1.0
522,Brown Joseph B Jr,1,0,1,1.0
523,Griffiths James Sydney,1,0,1,1.0
524,Epig,1,0,1,1.0
525,Honda,1,0,1,1.0
526,Richard,1,0,1,1.0
527,Ilyushin,1,0,1,1.0
528,Murray,1,0,1,1.0
529,Aero At Sp Zoo,1,0,1,1.0
530,Aeropro Cz S R O,1,0,1,1.0
531,Vicari,1,0,1,1.0
532,Cubcrafters,1,0,1,1.0
533,Aero Sp Z O O (Gobosh),1,0,1,1.0
534,Liberty Aerospace Incorporate,1,0,1,1.0
535,Raven Aircraft Corppration,1,0,1,1.0
536,Norman Negus,1,0,1,1.0
537,Costruzioni Aeronautiche,1,0,1,1.0
538,Fairchild Funk,1,0,1,1.0
539,Luciani,1,0,1,1.0
540,Capella,1,0,1,1.0
541,Ryan Aeronautical,1,0,1,1.0
542,M.C. Thomas,1,0,1,1.0
543,Evektor Aerotechnic,1,0,1,1.0
544,Gallagher,1,0,1,1.0
545,Cook,1,0,1,1.0
546,Skykits Corp,1,0,1,1.0
547,Helton,1,0,1,1.0
548,Schupp Edward W,1,0,1,1.0
549,Globe,1,0,1,1.0
550,Evektor,1,0,1,1.0
551,Ag-Cat Corporation,1,0,1,1.0
552,Osprey 2,1,0,1,1.0
553,Volmer Aircraft,1,0,1,1.0
554,Andrews,1,0,1,1.0
555,Donald Bernard Higgs,1,0,1,1.0
556,Airplane Factory (Pty) Ltd The,1,0,1,1.0
557,"Wingtip To Wingtip, Llc",1,0,1,1.0
558,Foxair Llc,1,0,1,1.0
559,Miller,1,0,1,1.0
560,Weston,1,0,1,1.0
561,S.A.N.,1,0,1,1.0
562,Unknown,1,0,1,1.0
563,Cornell W F/Sahakian J A Jr,1,0,1,1.0
564,Aerostar Acft Corp Of Texas,1,0,1,1.0
565,Noorduyn,1,0,1,1.0
566,Joby Aero Inc,1,0,1,1.0
567,Pilatus Britten-Norman,1,0,1,1.0
568,British Aircraft Corp.,1,0,1,1.0
569,Rand,1,0,1,1.0
570,Fairchild Hiller,1,0,1,1.0
571,Moses Tim C,1,0,1,1.0
572,Supermarine,1,0,1,1.0
573,Silence,1,0,1,1.0
574,Comp Air,1,0,1,1.0
575,Airvan,1,0,1,1.0
576,Short,1,0,1,1.0
577,Legacy,1,0,1,1.0
578,Hoover David,1,0,1,1.0
579,Aircraft Mfg & Dev. Co.,1,0,1,1.0
580,Lyman Randall/Scott David,1,0,1,1.0
581,Sorenson,1,0,1,1.0
582,Mccurdy,1,0,1,1.0
583,Iniziative,1,0,1,1.0
584,York,1,0,1,1.0
585,Consolidated Aeronautics Inc.,1,0,1,1.0
586,Czech Sport Aircraft A S,1,0,1,1.0
587,Truitt Peter,1,0,1,1.0
588,Jewett,1,0,1,1.0
589,Citabria,1,0,1,1.0
590,Sauer,1,0,1,1.0
591,Indonesian Aerospace,1,0,1,1.0
592,Adolphson,1,0,1,1.0
593,Thorp,1,0,1,1.0
594,Frederick,1,0,1,1.0
595,J.A.Mullan,1,0,1,1.0
596,Marino,1,0,1,1.0
597,3Xtrim,1,0,1,1.0
598,Wag-A-Bond Traveller,1,0,1,1.0
599,Motley Gary W,1,0,1,1.0
600,Downer Aircraft Industries,1,0,1,1.0
601,Dusenberry,1,0,1,1.0
602,Nolin,1,0,1,1.0
603,Moyes,1,0,1,1.0
604,Chang,1,0,1,1.0
605,Hiller,1,0,1,1.0
606,Iniziative Industriali Italian,1,0,1,1.0
607,Believer,1,0,1,1.0
608,Midget,1,0,1,1.0
609,Baker Victor R,1,0,1,1.0
610,Eagle Aircraft Co,1,0,1,1.0
611,Southern Airmotive Corp Sac,1,0,1,1.0
612,Nasa Ames Research Center,1,0,1,1.0
613,Saville Hummer,1,0,1,1.0
614,Kenneth B Hines,1,0,1,1.0
615,Davis,1,0,1,1.0
616,Kenney,1,0,1,1.0
617,Schaffer Gary W,1,0,1,1.0
618,Lavia Argentina S.A.,1,0,1,1.0
619,Roberto P. Garcia,1,0,1,1.0
620,Wright Daniel J,1,0,1,1.0
621,Air Creation,1,0,1,1.0
622,Brown Mark,1,0,1,1.0
623,Bedecorp Llc,1,0,1,1.0
624,Mas Events,1,0,1,1.0
625,Lsa America Inc,1,0,1,1.0
626,Backovich George C,1,0,1,1.0
627,Buckman,1,0,1,1.0
628,Curtis-Wright,1,0,1,1.0
629,Velocity,1,0,1,1.0
630,"Schweizer, N36289",1,0,1,1.0
631,Wilson,1,0,1,1.0
632,Classic Aircraft Corp.,1,0,1,1.0
633,Smith Albert F,1,0,1,1.0
634,Wsl Pzl,1,0,1,1.0
635,Ang,1,0,1,1.0
636,Mobi-Light,1,0,1,1.0
637,North American/Schwamm,1,0,1,1.0
638,Rajhamsa,1,0,1,1.0
639,Schendl,1,0,1,1.0
640,"Weaver, David A",1,0,1,1.0
641,New Kolb Aircraft Co Llc,1,0,1,1.0
642,Hickham,1,0,1,1.0
643,Gulfstream Am Corp Comm Div,1,0,1,1.0
644,Ludwig Larry E,1,0,1,1.0
645,Shook,1,0,1,1.0
646,North Wing,1,0,1,1.0
647,Molino Oy,1,0,1,1.0
648,Ronald J Bender,1,0,1,1.0
649,Airborne,1,0,1,1.0
650,Potez-Air Fouga,1,0,1,1.0
651,Socata-Groupe Aerospatiale,1,0,1,1.0
652,Gulfstream American Corp.,1,0,1,1.0
653,Grob,1,0,1,1.0
654,Taylor,1,0,1,1.0
655,Morrison,1,0,1,1.0
656,Frazier,1,0,1,1.0
657,Thrush Aircraft Llc,1,0,1,1.0
658,Oliver Lawrence R,1,0,1,1.0
659,Jihlavan Airplanes Sro,1,0,1,1.0
660,Roach Neil,1,0,1,1.0
661,Fisher,1,0,1,1.0
662,Tomisin Thomas J,1,0,1,1.0
663,Central Ohio Dragonfly Club,1,0,1,1.0
664,Kitty Hawk,1,0,1,1.0
665,William K. Crawford,1,0,1,1.0
666,Elmwood,1,0,1,1.0
667,Merian Richard F,1,0,1,1.0
668,United Consultants,1,0,1,1.0
